book,passage,headword,pos,meaning_zh,definition_zh,synonyms,pos_variations,confusables,example_en,pronunciation,tags
C10,Stepwells,Diverted,v. 過去式,使轉向、轉移、分流（原形：divert）,指強行改變河流、交通路線、資金、注意力或資源的「前進方向」（原文指地下水被 diverted for industrial use 分流工業使用，導致階梯井乾涸）。,Redirected (v.) 重新定向、轉移 | Channelled (v.) 引導、開導（水或資金） | Distracted (v. 特指注意力被轉移) 使分心,Diversion (n.) 轉向、消遣娛樂,易混淆單字 | Divorced (adj.) 離婚的,The budget was diverted from infrastructure to educational facilities.,,
C10,Stepwells,Restoration,n.,修復、復原、恢復,(註：這個字前面出現過，但它在閱讀測驗古蹟類主題中是 100% 必考的黃金答案詞，再次幫你強化！),Renovation (建築翻新)、Rehabilitation (修復、康復),,,The architectural survey team is responsible for the restoration of historical monuments.,,
C10,Stepwells,Resembles,v. 第三人稱單數,看起來像、與……相似（原形：resemble）,形容外表、外觀、特徵上跟另一個人或物「極其相似」（原文指 Surya Kund 這座階梯井 resembles a tank 看起來更像一個蓄水池）。,Looks like (phr. v.) 看起來像 | Mirrors (v.) 反映、與……極相似 | Corresponds to (phr. v.) 與……相對應/相似,Resemblance (n.) 相似、相似之處（常見搭配：bear a striking resemblance to 與……有驚人的相似之處）,易混淆單字 | Assemble (v.) 集合、組裝,The new digital HR platform closely resembles our old social media interface.,,
C10,Stepwells,Hallmarks,n. pl.,特點、標誌、特徵（原形：hallmark）,原本指金銀器皿上的純度印記。引申為某種建築風格、優秀品質或某人作品中最具代表性、最顯著的「品質標誌或特徵」。,Trademarks (n. pl.) 商標、特徵 | Characteristics / Features (n. pl. 還記得嗎？) 特徵 / 特色 | Signatures (n. pl.) 簽名、鮮明特色,,,Attention to historical detail is one of the hallmarks of this architect's work.,,
C10,Stepwells,Striking,adj.,驚人的、顯著的、引人注目的,形容外觀非常漂亮、奇特，或是兩者之間的差異極大，以至於讓人「一眼看到就留下深刻印象」。,Remarkable (adj.) 非凡的、顯著的 | Stunning (adj. 本文也用了這個字！) 極漂亮的、令人震驚的 | Conspicuous (adj. 高級字) 顯眼的、引人注目的,Strike (v./n.) 罷工、打擊 | Strikingly (adv.) 顯著地、驚人地,,The contrast between the medieval castle and modern skyscrapers is very striking.,,
C10,Stepwells,Neglect,n./v.,疏忽、忽略、疏於照顧,指因為不小心、不負責任或故意放任，而「沒有給予應有的照顧、關注或維護」（原文指 following years of neglect，許多階梯井終於被救了回來）。,Abandonment (n.) 拋棄、放任 | Overlook (v. 還記得嗎？這是動詞形式的漏看) 忽略 | Disregard (n./v.) 漠視、不理會,Negligent (adj.) 疏忽的、玩忽職守的,,The historical building fell into disrepair due to decades of municipal neglect.,,
C10,Stepwells,Civilisations / Civilizations,n. pl.,文明、文明世界（原形：civilisation,指人類社會發展到較高階段，在文化、科技、政治和藝術上取得高度成就的社會形態（如古代印度文明）。,Societies (n. pl.) 社會 | Cultures (n. pl.) 文化,Civilize (v.) 使文明、開化 | Civil (adj.) 公民的、民事的,,Water resource management was fundamental to the survival of ancient civilisations.,,
C10,Stepwells,Spectacular,adj.,壯觀的、雄偉的、令人驚嘆的,形容景象、表演或建築非常壯麗、宏偉，給人帶來極大的視覺震撼（原文指 document these spectacular monuments 記錄這些壯觀的古蹟）。,Breathtaking (adj.) 激動人心的、美到令人窒息的 | Magnificent (adj. 還記得嗎？) 宏偉的、壯麗的 | Grand (adj.) 宏大的、堂皇的,Spectacle (n.) 奇觀、壯觀場面 / Spectacles (n. pl.) 眼鏡 | Spectacularly (adv.) 壯觀地、驚人地,,The sunrise over the ancient temple was absolutely spectacular.,,
C10,Stepwells,Geometrical / Geometric,adj.,幾何圖形的、幾何學的,形容形狀、線條、圖案由圓形、方形、三角形等規則的幾何圖形構成，非常有規律與對稱美（原文形容階梯井的樓梯呈現 stunning geometrical formation 迷人的幾何構造）。,,Geometry (n.) 幾何學 | Geometrically (adv.) 幾何學上地、成幾何級數地,,The modern art gallery features a unique geometrical design with clean lines.,,
C10,Stepwells,Formation,n.,構造、形成、排列、隊形,指某物經過自然演變或刻意排列後，所呈現出的特定「結構、外形」；在地理學上指岩層或地形。,Structure (n.) 結構、建築物 | Arrangement (n. 還記得嗎？) 排列、安排 | Configuration (n. 高級學術字) 結構、配置,Form (v.) 形成 / (n.) 表格、外形,,The tourists marveled at the spectacular rock formations along the coastline.,,
C10,Stepwells,Terraces,n. pl.,平台、梯田、露臺（原形：terrace）,指在一整片斜坡上，刻意修築出的一層層平坦的「階梯式平台、平地」（原文指階梯井側邊一層層的露臺 The terraces house 108 small... shrines）。,Platforms (n. pl.) 平台 | Tiers (n. pl. 原文也用了這個字喔！) 層、階層,,,The hotel rooms featured open terraces overlooking the oceanfront.,,
C10,Stepwells,Pattern,n.,圖案、模式、規律,指由線條、顏色或形狀重複出現所構成的「裝飾圖案」；在學術中指事情發展的「固定模式、規律」。,Design / Motif (n.) 設計 / （裝飾的）主題圖案 | Trend / Model (n.) 趨勢 / 模型、模式,,,The zigzagging steps of the stepwell create a striking pattern from afar.,,
C10,Stepwells,Worship,n./v.,崇拜、敬神、祈禱、禮拜,指對神明表達極大的敬意與崇拜，進行宗教儀式；或是盲目崇拜某人（原文指階梯井是 villagers 進行 worship 祭祀神明的地方）。,Reverence (n./v. 高級字) 尊敬、崇敬 | Veneration (n. 還記得嗎？) 尊敬、崇拜 | Adoration (n.) 狂熱的愛慕、崇拜,,,Ancient civilisations built magnificent temples for the worship of the sun god.,,
C10,Stepwells,Shrines,n. pl.,神龕、聖地、小神廟（原形：shrine）,"指供奉神像、聖物或紀念神聖人物的「小型神龕、祭壇、聖地」（原文指階梯之間建有 108 small, intricately carved shrines 108座雕刻精美的小神龕）。",Altars (n. pl.) 祭壇 | Sanctuaries (n. pl. 雅思環境/宗教大字) 避難所 / 聖殿、神聖場所 | Temples (n. pl.) 寺廟,,,Local residents regularly place fresh flowers at the street shrines.,,
C10,Stepwells,Inhabitants,n. pl.,居民、棲息者（原形：inhabitant）,【雅思聽力、閱讀超級核心大字！】 專指長期居住在某個國家、城市、地區的人或動物（原文指 the inhabitants of the modern-day states 當地居民）。,Residents / Dwellers (n. pl.) 居民（如 urban dwellers 都市居民） | Citizens (n. pl.) 市民、公民 | Occupants (n. pl.) 居住者、佔用者,Inhabit (v. 還記得嗎？) 居住於、棲息於 | Habitat (n. 靈熊主題核心字！) 棲息地,,The inhabitants of the island relied heavily on fishing for their livelihoods.,,
C10,Stepwells,Descend,v. 常搭配 to / from,下降、下來、走下去,指沿著樓梯、斜坡、道路「由高處往低處移動」的學術大字。相反詞為 Ascend（上升、走上去）。,Go down / Decline (v.) 下去 / 下降 | Plunge (v. 常用於數據暴跌) 驟降、猛跌,Descendant (n. ⚠️注意拼字！常考）後代、子孫（從祖先一代代傳下來的人） | Descent (n.) 下降、血統,易混淆單字 | Defend (v.) 防禦、辯護,Visitors must descend 170 stone steps to reach the deepest water source.,,
C10,Stepwells,Sheltered,adj./v. 過去式,受保護的、提供遮蔽的（原形：shelter）,指受到建築、硬體結構或外力遮擋，免受狂風、暴雨、酷熱或危險侵襲的狀態。,Shielded (adj.) 受到保護的、被遮擋的 | Protected (adj.) 受到保護的 | Shaded (adj. 特指被遮陽的) 蔽蔭的,Shelter (n./v.) 避難所、遮蔽 / 提供遮蔽,,The old pavilion provided a sheltered area for travellers during the rainstorm.,,
C10,Stepwells,Elaborate,adj.,精心製作的、複雜精美的 / (v.) 詳盡闡述,當形容詞時（發音 /iˈlæb.ɚ.ət/）：形容計畫、設計、工藝、衣服或系統包含了大量精心雕琢的細節，非常「複雜、細緻且耗費心血」。 當動詞時（發音 /iˈlæb.ə.reɪt/）：常用於學術或口說，後面常接 on，意為「進一步詳細說明、闡述、補充細節」。,Intricate (adj.) 錯綜複雜的、精細的 | Detailed (adj.) 詳盡的 | Expand on (phr. v. 對應動詞詞性) 闡述、擴充（觀點）,Elaborately (adv.) 精心、精細地 | Elaboration (n.) 精心策劃、詳盡闡述,易混淆單字 | Collaborate (v.) 合作、協作（字首多了 col-） | Evaporate (v.) 蒸發、消失,形容詞用法：The ancient passage of the stepwell features an elaborate architectural design. 動詞用法：Could you please elaborate on your research methodology?,,
C10,Stepwells,Stunning,adj.,極漂亮的、令人震驚的、絕美的,原本的動詞 stun 是指「把人打暈、使人震驚」。轉為形容詞後，形容某個景觀、外貌、服飾或成就「漂亮或傑出到讓人目瞪口呆、瞬間失去思考能力」，比一般的 beautiful 強烈很多。,Spectacular (adj.) 壯觀的、雄偉的（特別形容宏偉的景觀或古蹟） | Striking (adj.) 驚人的、引人注目的（因為對比強烈或新奇而吸引人） | Breathtaking (adj.) 美到令人窒息的 | Astonishing (adj.) 令人震驚的、驚人的,Stun (v.) 使震驚、使目瞪口呆 | Stunningly (adv.) 絕美地、令人震驚地,,The sets of steps descend to the bottom in a stunning geometrical formation.,,
C10,Stepwells,Intricately,adv.,錯綜複雜地、精細地,形容做事、雕刻、編織或運作時，將無數細小的零件、線條或情節「交織、組合得極其細密且複雜」。在雅思中，它是用來形容「手工藝、石雕（carved）、構造」最頂級的副詞。,Elaborately (adv.) 精心製作地、精細地 | Complexly (adv.) 複雜地 | Meticulously (adv.) 一絲不苟地、極其細緻地,Intricate (adj.) 錯綜複雜的、精細的 | Intricacy (n.) 錯綜複雜的細節、複雜性,,"The stone terraces house 108 small, intricately carved shrines.",,
C10,Stepwells,Ingenuity,n.,聰明才智、獨創性、原創巧思,指在發明、設計新事物或解決棘手問題時，所展現出的「聰明才智、原創巧思與心靈手巧」。這個字在雅思閱讀中，常用來讚嘆古代文明的工程智慧或科學家的創新能力。,Inventiveness (n.) 發明才能、獨創性 | Creativity (n.) 創造力 | Resourcefulness (n.) 足智多謀、善於隨機應變的能力,Ingenious (adj. ⚠️注意：它的形容詞字尾是 -ious，長得很像 genius 天才，意思也是形容計畫或發明很精妙）,考場魔鬼易混淆字（拼法極像，意思完全無關！） | Ingenuity (n.) 聰明才智、獨創性（來自 ingenious） | Indigenous (adj.) 土著的、土生土長的（例：indigenous culture 原住民文化） | Ingenuous (adj. 高級字) 純樸的、天真的、缺乏世故的,These architectural marvels serve as a reminder of the ingenuity of ancient civilisations.,,
